,ob1-003,ob1-006,ob1-001,ob1-002,ob1-004,ob1-005,ob1-007,ob1-008
realidad,,,,,,,,
familia,,,,,,,,
miedo,,,,,,,,
trabajo,,,,,,,,
sentido,,,,,,,,
final,,,,,,,,
suelo,,,,,,,,
edad,,,,,,,,
acuerdo,,,,,,,,
debe,,,,,,,,
problema,,,,,,,,
presidente,,,,,,,,
hombre,,,,,,,,
ciudad,,,,,,,,
madre,,,,,,,,
estado,,,,,,,,
media,,,,,,,,
noche,,,,,,,,
momento,,,,,,,,
libro,,,,,,,,
recuerdo,memoria,memoria,memoria,memoria,memoria,memoria,memoria,memoria
centro,espacio,espacio,espacio,espacio,espacio,espacio,espacio,espacio
nueva,vida,vida,vida,vida,vida,vida,vida,vida
año,,,,,,,,
forma,funcion,funcion,funcion,funcion,funcion,funcion,funcion,funcion
señor,,,,,,,,
grupo,,,,,,,,
hijo,,,,,,,,
mundo,,,,,,,,
mirada,,,,,,,,
vez,,,,,,,,
mano,,,,,,,,
camino,,,,,,,,
cuerpo,,,,,,,,
hecho,,,,,,,,
segundo,,,,,,,,
medio,,,,,,,,
nombre,,,,,,,,
padre,,,,,,,,
española,,,,,,,,
uno,,,,,,,,
niño,,,,,,,,
clase,,,,,,,,
fuerza,,,,,,,,
mesa,,,,,,,,
futuro,,,,,,,,
todo,,,,,,,,
cultura,,,,,,,,
dia,,,,,,,,
tanto,,,,,,,,
campo,,,,,,,,
señora,,,,,,,,
memoria,,,,,,,,
guerra,,,,,,,,
diez,,,,,,,,
gobierno,,,,,,,,
manera,,,,,,,,
mayor,,,,,,,,
agua,,,,,,,,
muerte,,,,,,,,
tipo,,,,,,,,
publico,,,,,,,,
dicho,,,,,,,,
trata,,,,,,,,
verdad,,,,,,,,
vista,,,,,,,,
vida,,,,,,,,
mayoria,,,,,,,,
paso,,,,,,,,
razon,,,,,,,,
sistema,,,,,,,,
presencia,,,,,,,,
cuatro,,,,,,,,
obra,,,,,,,,
equipo,,,,,,,,
posible,,,,,,,,
relacion,,,,,,,,
fondo,,,,,,,,
mar,,,,,,,,
corazon,,,,,,,,
punto,,,,,,,,
interior,,,,,,,,
sobre,,,,,,,,
gente,,,,,,,,
siglo,,,,,,,,
camara,,,,,,,,
auto,,,,,,,,
tiempo,,,,,,,,
amor,,,,,,,,
calle,,,,,,,,
mal,,,,,,,,
sociedad,,,,,,,,
te,,,,,,,,
puerta,,,,,,,,
situacion,,,,,,,,
cinco,,,,,,,,
claro,,,,,,,,
palabra,,,,,,,,
mil,,,,,,,,
especie,,,,,,,,
